legal_entity_edrpou,legal_entity_name,residence_settlement_koatuu,residence_settlement_upd,Count of division_id,ent_num,ent_name,entity_num_id,entity_id,admin1,admin2,admin3,admin4,section,bnfc_group.bnfc_grp,Status
45613974,"ТОВ ""МЗ МИКОЛАЇВСЬКА""",4810100000,МИКОЛАЇВ,1,4561397401,"[МИКОЛАЇВ] ТОВ ""МЗ МИКОЛАЇВСЬКА""",HCF (4561397401),"HCF (4561397401) - [МИКОЛАЇВ] ТОВ ""МЗ МИКОЛАЇВСЬКА""",Mykolaivska - Миколаївська - UA48,Mykolaivskyi - Миколаївський - UA4806,Mykolaivska - Миколаївська - UA4806015,Mykolaiv - Миколаїв - UA4806015001,Health,Healthcare Facility,Active
45629806,"ТОВ ""СІПІДЖІ ХЕЛС""",710100000,ЛУЦЬК,1,4562980601,"[ЛУЦЬК] ТОВ ""СІПІДЖІ ХЕЛС""",HCF (4562980601),"HCF (4562980601) - [ЛУЦЬК] ТОВ ""СІПІДЖІ ХЕЛС""",Volynska - Волинська - UA07,Lutskyi - Луцький - UA0708,Lutska - Луцька - UA0708017,Lutsk - Луцьк - UA0708017001,Health,Healthcare Facility,Active
45629806,"ТОВ ""СІПІДЖІ ХЕЛС""",710400000,КОВЕЛЬ,2,4562980602,"[КОВЕЛЬ] ТОВ ""СІПІДЖІ ХЕЛС""",HCF (4562980602),"HCF (4562980602) - [КОВЕЛЬ] ТОВ ""СІПІДЖІ ХЕЛС""",Volynska - Волинська - UA07,Kovelskyi - Ковельський - UA0706,Kovelska - Ковельська - UA0706019,Kovel - Ковель - UA0706019001,Health,Healthcare Facility,Active
45629806,"ТОВ ""СІПІДЖІ ХЕЛС""",723155100,ЛЮБЕШІВ,1,4562980603,"[ЛЮБЕШІВ] ТОВ ""СІПІДЖІ ХЕЛС""",HCF (4562980603),"HCF (4562980603) - [ЛЮБЕШІВ] ТОВ ""СІПІДЖІ ХЕЛС""",Volynska - Волинська - UA07,Kamin-Kashyrskyi - Камінь-Каширський - UA0704,Liubeshivska - Любешівська - UA0704003,Liubeshiv - Любешів - UA0704003001,Health,Healthcare Facility,Active
45635191,"ТОВ ""СВІЙ ЛІКАР ПЛЮС""",7110100000,ЧЕРКАСИ,1,4563519101,"[ЧЕРКАСИ] ТОВ ""СВІЙ ЛІКАР ПЛЮС""",HCF (4563519101),"HCF (4563519101) - [ЧЕРКАСИ] ТОВ ""СВІЙ ЛІКАР ПЛЮС""",Cherkaska - Черкаська - UA71,Cherkaskyi - Черкаський - UA7108,Cherkaska - Черкаська - UA7108049,Cherkasy - Черкаси - UA7108049001,Health,Healthcare Facility,Active
45642371,"ДОЧІРНЄ ПІДПРИЄМСТВО ""НАЧМЕД""",4610100000,ЛЬВІВ,3,4564237101,"[ЛЬВІВ] ДОЧІРНЄ ПІДПРИЄМСТВО ""НАЧМЕД""",HCF (4564237101),"HCF (4564237101) - [ЛЬВІВ] ДОЧІРНЄ ПІДПРИЄМСТВО ""НАЧМЕД""",Lvivska - Львівська - UA46,Lvivskyi - Львівський - UA4606,Lvivska - Львівська - UA4606025,Lviv - Львів - UA4606025001,Health,Healthcare Facility,Active
45642371,"ДОЧІРНЄ ПІДПРИЄМСТВО ""НАЧМЕД""",4611200000,СТРИЙ,2,4564237102,"[СТРИЙ] ДОЧІРНЄ ПІДПРИЄМСТВО ""НАЧМЕД""",HCF (4564237102),"HCF (4564237102) - [СТРИЙ] ДОЧІРНЄ ПІДПРИЄМСТВО ""НАЧМЕД""",Lvivska - Львівська - UA46,Stryiskyi - Стрийський - UA4610,Stryiska - Стрийська - UA4610023,Stryi - Стрий - UA4610023001,Health,Healthcare Facility,Active
45644520,ТОВ «КЛІНІКА ЗДОРОВ’Я ТЕРНОПІЛЬ»,6110100000,ТЕРНОПІЛЬ,1,4564452001,[ТЕРНОПІЛЬ] ТОВ «КЛІНІКА ЗДОРОВ’Я ТЕРНОПІЛЬ»,HCF (4564452001),HCF (4564452001) - [ТЕРНОПІЛЬ] ТОВ «КЛІНІКА ЗДОРОВ’Я ТЕРНОПІЛЬ»,Ternopilska - Тернопільська - UA61,Ternopilskyi - Тернопільський - UA6104,Ternopilska - Тернопільська - UA6104049,Ternopil - Тернопіль - UA6104049001,Health,Healthcare Facility,Active
45647579,"ТОВ ""Медичний центр -Клініка життя""",510100000,ВІННИЦЯ,2,4564757901,"[ВІННИЦЯ] ТОВ ""Медичний центр -Клініка життя""",HCF (4564757901),"HCF (4564757901) - [ВІННИЦЯ] ТОВ ""Медичний центр -Клініка життя""",Vinnytska - Вінницька - UA05,Vinnytskyi - Вінницький - UA0502,Vinnytska - Вінницька - UA0502003,Vinnytsia - Вінниця - UA0502003001,Health,Healthcare Facility,Active
45652112,"ТОВ ""ДЮМЕД""",3222410600,ВИШНЕВЕ,1,4565211201,"[ВИШНЕВЕ] ТОВ ""ДЮМЕД""",HCF (4565211201),"HCF (4565211201) - [ВИШНЕВЕ] ТОВ ""ДЮМЕД""",Kyivska - Київська - UA32,Buchanskyi - Бучанський - UA3208,Vyshneva - Вишнева - UA3208009,Vyshneve - Вишневе - UA3208009001,Health,Healthcare Facility,Active
45663407,"ТОВ ""МЕДИЧНИЙ ЦЕНТР ""А&Л""",7110100000,ЧЕРКАСИ,1,4566340701,"[ЧЕРКАСИ] ТОВ ""МЕДИЧНИЙ ЦЕНТР ""А&Л""",HCF (4566340701),"HCF (4566340701) - [ЧЕРКАСИ] ТОВ ""МЕДИЧНИЙ ЦЕНТР ""А&Л""",Cherkaska - Черкаська - UA71,Cherkaskyi - Черкаський - UA7108,Cherkaska - Черкаська - UA7108049,Cherkasy - Черкаси - UA7108049001,Health,Healthcare Facility,Active
45664306,ТОВ «7’Я Клінік»,3510100000,КРОПИВНИЦЬКИЙ,2,4566430601,[КРОПИВНИЦЬКИЙ] ТОВ «7’Я Клінік»,HCF (4566430601),HCF (4566430601) - [КРОПИВНИЦЬКИЙ] ТОВ «7’Я Клінік»,Kirovohradska - Кіровоградська - UA35,Kropyvnytskyi - Кропивницький - UA3504,Kropyvnytska - Кропивницька - UA3504021,Kropyvnytskyi - Кропивницький - UA3504021001,Health,Healthcare Facility,Active
45668845,"ТОВ ""ПРОФМЕДКЛІНІК""",8000000000,КИЇВ,1,4566884501,"[КИЇВ] ТОВ ""ПРОФМЕДКЛІНІК""",HCF (4566884501),"HCF (4566884501) - [КИЇВ] ТОВ ""ПРОФМЕДКЛІНІК""",Kyiv - Київ - UA80,Kyiv - Київ - UA8000,Kyiv - Київ - UA8000000,Kyiv - Київ - UA8000000000,Health,Healthcare Facility,Active
45687480,"ТОВ ""Клінікідс""",2310100000,ЗАПОРІЖЖЯ,1,4568748001,"[ЗАПОРІЖЖЯ] ТОВ ""Клінікідс""",HCF (4568748001),"HCF (4568748001) - [ЗАПОРІЖЖЯ] ТОВ ""Клінікідс""",Zaporizka - Запорізька - UA23,Zaporizkyi - Запорізький - UA2306,Zaporizka - Запорізька - UA2306007,Zaporizhzhia - Запоріжжя - UA2306007001,Health,Healthcare Facility,Active
